short_name,overall,age,height_cm,weight_kg,club_name,club_position,nationality_name,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_finishing,attacking_heading_accuracy,skill_dribbling
H. Lloris,87,34,188,82,Tottenham Hotspur,GK,France,1,4,,,,,,,10,10,10
L. Modrić,87,35,172,66,Real Madrid CF,RCM,Croatia,4,4,73,76,89,88,72,66,72,55,85
Á. Di María,87,33,180,69,Paris Saint-Germain,SUB,Argentina,5,4,83,81,86,87,48,69,79,51,88
W. Szczęsny,87,31,195,90,Juventus,GK,Poland,1,3,,,,,,,12,16,11
T. Müller,87,31,185,76,FC Bayern München,CAM,Germany,3,4,67,84,83,80,56,71,88,81,77
C. Immobile,87,31,185,85,Lazio,ST,Italy,3,4,86,87,67,81,39,77,91,81,80
P. Pogba,87,28,191,84,Manchester United,RDM,France,5,4,71,81,86,86,65,83,75,74,88
M. Verratti,87,28,165,60,Paris Saint-Germain,LCM,Italy,4,3,64,61,87,91,79,67,60,57,91
Marquinhos,87,27,183,75,Paris Saint-Germain,RCB,Brazil,3,3,81,53,75,74,89,81,51,88,69
L. Goretzka,87,26,189,82,FC Bayern München,LDM,Germany,3,4,81,82,82,84,81,86,82,86,84
P. Dybala,87,27,177,75,Juventus,CAM,Argentina,4,3,84,86,86,90,40,60,85,59,90
A. Robertson,87,27,178,64,Liverpool,LB,Scotland,3,3,84,61,81,81,82,76,55,67,81
F. de Jong,87,24,180,74,FC Barcelona,RCM,Netherlands,4,3,81,69,85,88,77,78,72,72,88
T. Alexander-Arnold,87,22,180,69,Liverpool,RB,England,3,3,79,68,88,80,80,72,60,69,78
J. Sancho,87,21,180,76,Manchester United,LM,England,5,3,81,76,82,91,36,65,83,38,92
Rúben Dias,87,24,187,82,Manchester City,RCB,Portugal,2,3,61,38,65,68,88,88,29,87,64
G. Chiellini,86,36,187,85,Juventus,SUB,Italy,2,4,68,46,60,59,89,85,33,77,57
S. Handanovič,86,36,193,92,Inter,GK,Slovenia,1,3,,,,,,,10,10,18
M. Hummels,86,32,191,96,Borussia Dortmund,LCB,Germany,3,4,56,59,77,73,89,77,57,88,69
Jordi Alba,86,32,170,68,FC Barcelona,LB,Spain,3,3,86,69,81,83,77,71,73,70,81
Thiago,86,30,174,70,Liverpool,LCM,Spain,5,3,63,72,86,90,70,66,68,54,90
Sergio Busquets,86,32,189,76,FC Barcelona,CDM,Spain,3,4,42,62,79,80,82,75,67,68,81
Parejo,86,32,182,74,Villarreal CF,LCM,Spain,3,2,50,83,90,81,71,69,83,61,82
K. Casteels,86,29,197,86,VfL Wolfsburg,GK,Belgium,1,3,,,,,,,15,14,14
L. Insigne,86,30,163,59,Napoli,LW,Italy,4,4,87,78,85,90,36,45,76,59,90
K. Koulibaly,86,30,187,89,Napoli,LCB,Senegal,2,3,81,28,51,65,87,85,22,84,69
R. Varane,86,28,191,81,Manchester United,RCB,France,2,3,82,49,64,65,87,82,46,86,55
R. Mahrez,86,30,179,67,Manchester City,RW,Algeria,5,3,81,79,81,90,38,60,81,48,91
Gerard Moreno,86,29,180,77,Villarreal CF,RS,Spain,3,2,79,86,77,84,46,73,89,82,86
J. Vardy,86,34,179,74,Leicester City,ST,England,3,3,85,84,70,80,52,73,90,79,78
Fabinho,86,27,188,78,Liverpool,CDM,Brazil,3,3,67,69,78,78,85,83,63,75,78
João Cancelo,86,27,182,74,Manchester City,LB,Portugal,4,3,85,71,83,84,80,72,68,72,85
A. Laporte,86,27,191,85,Manchester City,LCB,Spain,2,3,63,50,72,69,86,80,45,84,63
K. Coman,86,25,180,76,FC Bayern München,SUB,France,4,4,93,76,79,88,30,60,75,61,89
Bernardo Silva,86,26,173,64,Manchester City,SUB,Portugal,4,2,80,76,83,91,54,67,77,51,92
Marcos Llorente,86,26,184,74,Atlético de Madrid,RM,Spain,3,3,88,80,81,82,78,82,81,67,82
Rodri,86,25,191,82,Manchester City,CDM,Spain,3,3,61,70,77,78,82,82,64,78,78
M. Škriniar,86,26,188,80,Inter,RCB,Slovakia,2,3,80,41,53,69,87,84,42,81,67
A. Gómez,85,33,167,68,Sevilla FC,LCM,Argentina,4,3,87,78,84,87,39,55,77,38,85
K. Schmeichel,85,34,189,89,Leicester City,GK,Denmark,1,2,,,,,,,12,16,12
Thiago Silva,85,36,183,79,Chelsea,SUB,Brazil,2,4,53,54,72,72,86,78,40,81,67
David Silva,85,35,173,67,Real Sociedad,CAM,Spain,4,4,63,74,87,87,52,53,72,53,86
Y. Sommer,85,32,183,79,Borussia Mönchengladbach,GK,Switzerland,1,3,,,,,,,13,10,15
E. Cavani,85,34,185,77,Manchester United,SUB,Uruguay,3,4,66,86,70,76,51,79,89,88,74
E. Hazard,85,30,175,74,Real Madrid CF,LW,Belgium,4,4,84,80,82,88,35,63,78,61,89
L. Bonucci,85,34,190,85,Juventus,RCB,Italy,2,3,64,58,69,72,86,80,48,83,69
P. Gulácsi,85,31,191,86,RB Leipzig,GK,Hungary,1,3,,,,,,,10,23,19
İ. Gündoğan,85,30,180,80,Manchester City,LCM,Germany,4,3,65,80,85,86,73,72,80,50,86
M. Reus,85,32,180,71,Borussia Dortmund,CAM,Germany,4,4,73,84,84,85,47,63,84,44,85
K. Walker,85,31,183,83,Manchester City,RB,England,3,3,92,63,76,78,80,82,51,74,79
P. Aubameyang,85,32,187,80,Arsenal,ST,Gabon,4,3,89,85,75,80,35,69,89,73,79
Koke,85,29,176,75,Atlético de Madrid,RCM,Spain,3,3,70,75,85,81,79,80,72,61,80
A. Griezmann,85,30,176,73,Atlético de Madrid,LS,France,4,4,80,84,84,87,52,72,84,83,85
S. de Vrij,85,29,189,78,Inter,CB,Netherlands,2,3,72,41,64,70,87,79,25,84,66
Roberto Firmino,85,29,181,76,Liverpool,CF,Brazil,5,3,77,78,79,89,59,78,78,78,89
M. Depay,85,27,176,78,FC Barcelona,LW,Netherlands,5,3,82,83,82,84,30,79,83,65,86
Carvajal,85,29,173,73,Real Madrid CF,RB,Spain,3,3,80,54,78,80,81,80,51,72,78
Jorginho,85,29,180,68,Chelsea,LCM,Italy,3,2,55,67,86,81,73,73,64,56,79
S. Gnabry,85,25,176,77,FC Bayern München,RM,Germany,4,4,83,84,79,86,43,69,86,42,88
S. Milinković-Savić,85,26,191,76,Lazio,RCM,Serbia,4,3,68,79,80,81,79,86,80,86,84
W. Ndidi,85,24,183,74,Leicester City,LDM,Nigeria,3,1,67,62,69,74,87,83,50,72,72
Oyarzabal,85,24,181,79,Real Sociedad,LW,Spain,3,2,82,82,81,84,41,63,84,60,85
L. Martínez,85,23,174,72,Inter,LS,Argentina,4,3,84,81,72,85,48,84,85,87,83
M. Rashford,85,23,186,70,Manchester United,SUB,England,5,3,90,84,79,84,43,77,83,68,86
A. Hakimi,85,22,181,73,Paris Saint-Germain,RB,Morocco,3,2,95,71,78,83,76,78,73,68,84
M. de Ligt,85,21,189,89,Juventus,LCB,Netherlands,2,3,73,59,60,69,84,87,50,85,65
Z. Ibrahimović,84,39,195,95,AC Milan,SUB,Sweden,5,5,65,87,78,79,34,77,86,83,78
Jesús Navas,84,35,172,60,Sevilla FC,RB,Spain,4,2,87,69,81,83,79,58,65,73,84
Piqué,84,34,194,85,FC Barcelona,LCB,Spain,2,4,58,61,71,68,85,78,65,84,63
D. Mertens,84,34,169,61,Napoli,SUB,Belgium,4,3,85,82,80,88,34,50,84,40,88
G. Wijnaldum,84,30,175,74,Paris Saint-Germain,RCM,Netherlands,4,3,77,75,80,86,79,79,75,78,85
J. Henderson,84,31,182,80,Liverpool,RCM,England,3,3,66,74,83,79,78,81,73,65,78
Fernando,84,33,183,76,Sevilla FC,CDM,Brazil,3,2,66,62,75,74,83,82,54,74,71
K. Trippier,84,30,173,69,Atlético de Madrid,SUB,England,3,2,73,63,82,77,80,72,54,79,74
Iago Aspas,84,33,176,67,RC Celta de Vigo,RS,Spain,3,2,82,85,79,86,35,63,89,77,87
De Gea,84,30,192,82,Manchester United,GK,Spain,1,4,,,,,,,13,21,18
D. Alaba,84,29,180,78,Real Madrid CF,LB,Austria,3,4,77,70,81,80,83,76,60,74,77
Luis Alberto,84,28,183,74,Lazio,LCM,Spain,4,2,60,76,86,84,57,59,77,49,85
D. Tadić,84,32,181,76,Ajax,LW,Serbia,4,3,69,81,85,85,43,76,83,66,85
W. Ben Yedder,84,30,170,68,AS Monaco,ST,France,4,2,82,84,77,87,39,70,88,74,87
L. Digne,84,27,178,74,Everton,LB,France,3,2,79,69,80,80,80,76,60,71,78
J. Iličić,84,33,190,79,Atalanta,SUB,Slovenia,5,3,75,86,84,86,40,67,85,58,88
E. Martínez,84,28,195,88,Aston Villa,GK,Argentina,1,3,,,,,,,16,26,13
H. Maguire,84,28,194,100,Manchester United,LCB,England,2,3,50,55,69,70,85,87,48,87,71
S. Savić,84,30,187,80,Atlético de Madrid,RCB,Montenegro,2,2,64,35,57,58,87,76,34,84,47
M. Sabitzer,84,27,178,76,FC Bayern München,SUB,Austria,3,3,78,84,81,80,67,78,81,60,79
L. Shaw,84,25,181,75,Manchester United,LB,England,3,2,79,54,79,80,81,80,44,78,80
J. Grealish,84,25,180,81,Manchester City,LW,England,4,3,80,76,83,88,46,64,77,36,89
M. Ginter,84,27,191,86,Borussia Mönchengladbach,RCB,Germany,2,3,62,58,72,66,86,79,55,84,61
Felipe,84,32,190,84,Atlético de Madrid,SUB,Brazil,2,3,61,41,58,62,85,84,39,83,57
Y. Carrasco,84,27,185,73,Atlético de Madrid,LM,Belgium,4,3,88,81,78,85,45,67,81,53,88
F. Kostić,84,28,184,82,Eintracht Frankfurt,LM,Serbia,3,3,88,77,82,83,68,80,75,59,85
H. Ziyech,84,28,181,65,Chelsea,SUB,Morocco,5,3,78,76,87,83,50,65,73,52,83
R. Guerreiro,84,27,170,71,Borussia Dortmund,LB,Portugal,4,3,75,77,85,88,76,58,77,43,88
Ricardo Pereira,84,27,175,70,Leicester City,RB,Portugal,3,3,83,67,78,82,80,75,66,67,81
T. Werner,84,25,180,76,Chelsea,SUB,Germany,3,3,91,81,70,82,35,70,81,76,82
M. Maignan,84,25,191,89,AC Milan,GK,France,1,2,,,,,,,15,17,32
M. Brozović,84,28,181,68,Inter,CDM,Croatia,3,3,69,74,80,79,79,78,69,70,76
Y. Tielemans,84,24,176,72,Leicester City,RDM,Belgium,4,2,63,79,86,80,71,72,74,67,79
J. Giménez,84,26,185,79,Atlético de Madrid,CB,Uruguay,2,2,69,45,57,59,86,80,37,83,54
N. Fekir,84,27,173,75,Real Betis Balompié,CAM,France,4,3,83,83,82,87,38,79,83,49,88
L. Sané,84,25,183,80,FC Bayern München,LM,Germany,4,3,90,81,79,85,38,68,81,72,87
N. Barella,84,24,172,68,Inter,RCM,Italy,3,3,78,71,79,86,75,78,69,53,83
M. Acuña,84,29,172,69,Sevilla FC,LB,Argentina,4,2,76,74,82,87,79,82,66,58,87
André Silva,84,25,185,84,RB Leipzig,ST,Portugal,4,3,74,84,69,83,45,77,87,86,84
F. Kessié,84,24,183,88,AC Milan,LDM,Côte d'Ivoire,3,3,78,74,74,80,82,87,67,68,78
T. Hernández,84,23,184,81,AC Milan,LB,France,3,3,93,71,76,81,77,82,68,74,83
K. Havertz,84,22,188,82,Chelsea,SUB,Germany,4,3,82,78,79,84,45,66,81,78,86
P. Foden,84,21,171,69,Manchester City,SUB,England,4,3,84,78,80,87,56,57,79,47,86
Fernandinho,83,36,179,67,Manchester City,SUB,Brazil,3,3,59,72,75,78,84,75,66,71,76
C. Vela,83,32,177,77,Los Angeles FC,RW,Mexico,4,3,80,82,78,84,31,67,85,67,84
A. Witsel,83,32,186,81,Borussia Dortmund,SUB,Belgium,4,3,61,72,81,79,82,79,71,84,78
Sergio Asenjo,83,32,189,87,Villarreal CF,SUB,Spain,1,2,,,,,,,14,13,15
S. Kjær,83,32,190,86,AC Milan,RCB,Denmark,2,3,67,55,64,59,85,78,55,81,50
E. Džeko,83,35,193,80,Inter,RS,Bosnia and Herzegovina,3,3,66,83,72,78,45,76,85,83,78
J. Boateng,83,32,190,94,Olympique Lyonnais,RES,Germany,2,4,72,50,73,67,84,79,34,83,64
T. Alderweireld,83,32,186,81,,,Belgium,2,3,58,55,70,67,86,77,45,81,62
Azpilicueta,83,31,178,77,Chelsea,RWB,Spain,2,3,66,55,76,72,84,76,46,77,68
Paulinho,83,32,183,80,Al Ahli,LCM,Brazil,4,3,72,81,77,81,80,85,83,85,82
Muniain,83,28,170,66,Athletic Club de Bilbao,LM,Spain,4,2,81,76,82,87,51,61,79,43,87
Canales,83,30,176,65,Real Betis Balompié,LM,Spain,4,2,83,80,85,82,67,71,79,50,82
L. Hrádecký,83,31,192,83,Bayer 04 Leverkusen,GK,Finland,1,3,,,,,,,11,11,10
Alex Sandro,83,30,180,80,Juventus,LB,Brazil,3,3,81,65,77,79,78,79,55,76,79
B. Leno,83,29,190,83,Arsenal,GK,Germany,1,3,,,,,,,9,13,16
K. Manolas,83,30,189,83,Napoli,RCB,Greece,2,3,81,25,44,62,85,81,25,80,54
H. Mkhitaryan,83,32,177,75,Roma,LM,Armenia,4,3,85,80,79,83,56,74,80,68,84
J. Cuadrado,83,33,179,72,Juventus,RM,Colombia,5,3,90,75,77,87,76,72,70,67,90
J. Matip,83,29,194,90,Liverpool,RCB,Cameroon,2,2,58,46,68,68,85,78,36,84,69
S. Coates,83,30,196,92,Sporting CP,CB,Uruguay,2,3,68,49,55,63,84,87,55,82,65
F. Acerbi,83,33,192,88,Lazio,LCB,Italy,3,3,63,50,62,64,86,83,37,82,65
Allan,83,30,175,74,Everton,LDM,Brazil,4,2,72,71,77,82,80,79,73,56,81
K. Volland,83,28,179,85,AS Monaco,RF,Germany,3,2,73,85,79,80,42,86,86,76,80
Morata,83,28,190,84,Juventus,ST,Spain,3,3,82,80,72,81,31,77,84,86,83
M. Icardi,83,28,181,75,Paris Saint-Germain,SUB,Argentina,3,3,69,83,65,77,36,69,87,85,76
L. Spinazzola,83,28,186,75,Roma,RES,Italy,4,3,92,64,73,80,78,71,60,69,83
J. Stones,83,27,188,76,Manchester City,SUB,England,3,2,70,51,71,74,84,78,52,84,72
N. Pope,83,29,199,76,Burnley,GK,England,1,1,,,,,,,14,11,15
R. Jiménez,83,30,188,81,Wolverhampton Wanderers,ST,Mexico,3,3,72,82,76,81,47,82,84,85,84
J. Pickford,83,27,185,77,Everton,GK,England,1,3,,,,,,,19,15,14
A. Rüdiger,83,28,190,85,Chelsea,LCB,Germany,2,2,75,43,68,64,84,84,32,81,60
L. Ocampos,83,26,188,84,Sevilla FC,LW,Argentina,4,2,81,84,78,83,63,84,86,77,85
M. Kovačić,83,27,176,80,Chelsea,SUB,Croatia,4,3,70,69,83,88,69,70,61,42,89
T. Partey,83,28,185,77,Arsenal,RDM,Ghana,3,2,69,71,82,81,80,84,66,68,84
Gayà,83,26,172,66,Valencia CF,LB,Spain,4,3,83,61,77,80,79,73,61,58,79
T. Lemar,83,25,171,66,Atlético de Madrid,LCM,France,4,3,82,76,82,86,59,63,75,54,88
P. Højbjerg,83,25,185,84,Tottenham Hotspur,RCM,Denmark,3,2,60,71,76,76,81,82,65,65,76
Á. Correa,83,26,171,70,Atlético de Madrid,SUB,Argentina,4,2,85,83,78,87,49,74,85,69,88
D. Zapata,83,30,189,88,Atalanta,ST,Colombia,3,2,80,81,61,78,35,84,88,83,79
A. Kramarić,83,30,177,73,TSG Hoffenheim,CAM,Croatia,4,3,71,86,76,86,30,71,87,69,87
Angeliño,83,24,175,69,RB Leipzig,LB,Spain,4,2,78,71,82,84,76,70,70,65,84
L. Hernández,83,25,184,79,FC Bayern München,SUB,France,2,3,77,54,68,71,84,79,53,82,65
Marco Asensio,83,25,182,76,Real Madrid CF,SUB,Spain,4,3,82,80,81,83,43,62,77,57,84
W. Weghorst,83,28,197,84,VfL Wolfsburg,ST,Netherlands,2,2,63,83,59,70,52,86,87,92,65
R. Gosens,83,26,183,76,Atalanta,LM,Germany,3,3,82,75,74,79,77,81,79,82,80
Merino,83,25,189,83,Real Sociedad,RCM,Spain,3,1,74,78,81,82,82,81,79,81,83
P. Kimpembe,83,25,189,80,Paris Saint-Germain,SUB,France,2,3,81,42,68,70,83,86,31,80,63
F. Mendy,83,26,180,73,Real Madrid CF,SUB,France,4,1,92,64,76,79,78,84,63,72,80
A. Wan-Bissaka,83,23,183,72,Manchester United,RB,England,4,2,85,52,69,79,81,75,46,51,80
Ronaldo Cabrais,83,29,177,75,Grêmio,CAM,Brazil,4,1,88,77,83,84,35,72,74,64,85
Arthur,83,24,171,73,Juventus,SUB,Brazil,4,2,69,67,83,88,72,70,59,51,87
Gabriel Jesus,83,24,175,73,Manchester City,SUB,Brazil,4,2,84,81,72,86,39,73,84,77,86
O. Dembélé,83,24,178,67,FC Barcelona,RW,France,5,3,93,77,77,86,36,56,75,43,89
M. Mount,83,22,178,70,Chelsea,RW,England,3,3,74,79,84,83,55,65,79,59,82
É. Mendy,83,29,197,86,Chelsea,GK,Senegal,1,2,,,,,,,5,10,13
F. Chiesa,83,23,175,70,Juventus,LM,Italy,4,3,91,81,74,85,48,73,79,50,89
F. Valverde,83,22,182,78,Real Madrid CF,SUB,Uruguay,3,1,86,74,78,79,77,80,69,59,79
J. Koundé,83,22,181,75,Sevilla FC,RCB,France,2,2,81,45,64,72,84,78,47,79,69
João Félix,83,21,181,72,Atlético de Madrid,SUB,Portugal,5,2,82,79,76,86,40,68,79,69,86
Pepe,82,38,188,80,FC Porto,LCB,Portugal,2,4,80,51,60,61,82,87,46,81,58
Raúl Albiol,82,35,190,82,Villarreal CF,RCB,Spain,2,3,40,41,62,63,86,73,27,77,59
Ł. Fabiański,82,36,190,83,West Ham United,GK,Poland,1,2,,,,,,,13,11,14
S. Sirigu,82,34,192,85,Genoa,GK,Italy,1,3,,,,,,,10,11,15
I. Rakitić,82,33,184,78,Sevilla FC,SUB,Croatia,3,3,57,79,85,78,75,69,77,59,79
G. Bale,82,31,185,82,Real Madrid CF,RW,Wales,4,4,82,84,82,80,55,70,82,84,80
Rui Patrício,82,33,190,84,Roma,GK,Portugal,1,3,,,,,,,12,11,20
É. Banega,82,33,174,75,Al Shabab,CAM,Argentina,4,3,62,75,84,82,76,71,71,55,83
M. Pjanić,82,31,178,72,Beşiktaş JK,RCM,Bosnia and Herzegovina,3,3,65,68,83,81,75,67,56,60,81
Yuri Berchiche,82,31,181,80,Athletic Club de Bilbao,SUB,Spain,3,2,83,68,76,76,79,82,61,74,72
L. Stindl,82,32,181,80,Borussia Mönchengladbach,CAM,Germany,4,3,61,84,81,81,60,73,84,65,82
Oscar,82,29,179,70,Shanghai Port FC,CAM,Brazil,4,3,78,79,82,82,59,67,78,59,81
K. Trapp,82,30,189,88,Eintracht Frankfurt,GK,Germany,1,3,,,,,,,13,11,10
Coutinho,82,29,172,68,FC Barcelona,SUB,Brazil,5,4,69,79,80,88,52,59,75,48,89
C. Eriksen,82,29,181,76,Inter,RES,Denmark,4,3,62,78,88,81,53,52,73,52,77
D. Blind,82,31,180,72,Ajax,LB,Netherlands,3,3,45,64,82,79,83,72,60,76,77
M. Götze,82,29,177,71,PSV,CAM,Germany,4,4,68,75,83,84,55,69,75,47,84
A. Areola,82,28,195,94,West Ham United,SUB,France,1,2,,,,,,,19,14,15
J. Corona,82,28,173,66,FC Porto,SUB,Mexico,5,3,83,67,79,85,74,60,66,71,85
A. Lacazette,82,30,175,73,Arsenal,SUB,France,4,3,75,82,74,82,44,72,83,75,83
I. Gueye,82,31,174,66,Paris Saint-Germain,CM,Senegal,3,2,69,62,71,78,83,77,54,69,76
Mário Fernandes,82,30,187,80,PFC CSKA Moscow,RB,Russia,3,2,82,61,74,78,79,79,56,72,80
O. Baumann,82,31,187,82,TSG Hoffenheim,GK,Germany,1,2,,,,,,,11,16,19
Neto,82,31,190,84,FC Barcelona,SUB,Brazil,1,2,,,,,,,15,14,19
Isco,82,29,176,79,Real Madrid CF,SUB,Spain,4,3,66,75,80,88,59,59,76,55,91
W. Zaha,82,28,180,66,Crystal Palace,RW,Côte d'Ivoire,5,2,89,77,73,87,34,75,78,47,91
L. Muriel,82,30,179,79,Atalanta,SUB,Colombia,4,2,89,83,74,86,27,67,84,69,88
A. Lopes,82,30,184,81,Olympique Lyonnais,GK,Portugal,1,2,,,,,,,18,16,15
Campaña,82,28,179,70,Levante Unión Deportiva,LCM,Spain,4,1,68,74,83,82,71,72,73,65,83
Gabriel Paulista,82,30,185,72,Valencia CF,RCB,Brazil,2,2,67,49,71,65,84,83,42,81,60
J. Veretout,82,28,177,67,Roma,LDM,France,3,2,77,75,77,79,77,81,69,59,76
Suso,82,27,176,70,Sevilla FC,RW,Spain,4,2,76,76,82,85,32,55,72,50,87
T. Hazard,82,28,175,71,Borussia Dortmund,SUB,Belgium,4,2,80,76,80,85,52,66,74,39,86
Juan Bernat,82,28,170,67,Paris Saint-Germain,LB,Spain,4,2,82,65,78,82,76,68,65,56,82
Portu,82,29,167,66,Real Sociedad,SUB,Spain,3,1,90,78,77,79,59,79,81,77,78
H. Çalhanoğlu,82,27,178,76,Inter,LCM,Turkey,4,3,67,78,84,85,59,57,75,53,86
E. Can,82,27,186,86,Borussia Dortmund,SUB,Germany,3,3,78,78,78,80,84,87,76,82,82
Saúl,82,26,184,75,Chelsea,SUB,Spain,3,3,71,78,78,79,78,79,76,83,80
M. de Roon,82,30,185,76,Atalanta,RCM,Netherlands,3,3,66,68,71,73,82,83,60,75,71
Y. Bounou,82,30,192,78,Sevilla FC,GK,Morocco,1,1,,,,,,,14,14,20
Grimaldo,82,25,171,69,SL Benfica,LWB,Spain,3,3,87,65,81,83,74,71,52,66,83
A. Romagnoli,82,26,185,75,AC Milan,SUB,Italy,2,2,68,40,56,68,85,78,30,78,65
D. Berardi,82,26,183,72,U.S. Sassuolo Calcio,RM,Italy,4,2,79,80,81,85,36,69,80,62,83
N. Tagliafico,82,28,172,65,Ajax,SUB,Argentina,3,3,80,55,73,76,81,81,55,82,73
P. Gollini,82,26,194,94,Tottenham Hotspur,SUB,Italy,1,2,,,,,,,14,19,18
N. Süle,82,25,195,99,FC Bayern München,LCB,Germany,2,3,65,42,59,51,83,81,22,84,43
Alex Telles,82,28,181,71,Manchester United,SUB,Brazil,3,3,83,73,82,78,77,73,63,68,77
Anderson Talisca,82,27,190,80,Al Nassr,CAM,Brazil,4,2,80,83,81,83,52,75,81,77,83
R. De Paul,82,27,180,70,Atlético de Madrid,SUB,Argentina,4,1,78,76,80,82,71,79,76,50,81
Rafa,82,28,170,63,SL Benfica,RM,Portugal,4,2,94,73,74,86,50,52,74,46,86
Diego Carlos,82,28,185,86,Sevilla FC,LCB,Brazil,3,2,76,47,63,68,81,83,32,79,65
A. Rebić,82,27,185,78,AC Milan,LM,Croatia,4,1,86,83,75,81,48,80,85,74,84
C. Lenglet,82,26,186,81,FC Barcelona,SUB,France,2,2,72,45,67,66,83,79,39,81,57
J. Maddison,82,24,175,73,Leicester City,CAM,England,4,1,75,78,84,84,54,60,75,35,84
M. Locatelli,82,23,185,75,Juventus,RDM,Italy,3,2,61,72,79,77,79,79,69,68,78
M. Ødegaard,82,22,178,68,Arsenal,CAM,Norway,5,3,77,74,83,84,58,62,73,52,85
Rúben Neves,82,24,180,80,Wolverhampton Wanderers,RCM,Portugal,3,2,59,75,85,77,74,73,66,53,76
Diogo Jota,82,24,178,73,Liverpool,SUB,Portugal,4,2,84,81,73,85,57,77,84,77,85
J. Gomez,82,24,188,77,Liverpool,SUB,England,3,2,81,30,66,69,83,78,26,74,67
Fabián,82,25,189,70,Napoli,RCM,Spain,4,2,63,78,79,82,74,71,79,67,83
C. Pulisic,82,22,177,69,Chelsea,LW,United States,4,3,89,70,73,86,37,59,73,50,88
Palhinha,82,25,190,82,Sporting CP,LCM,Portugal,2,1,60,65,70,72,85,88,62,79,74
D. Upamecano,82,22,186,90,FC Bayern München,RCB,France,2,2,81,43,62,68,81,81,39,82,69
Mario Hermoso,82,26,185,76,Atlético de Madrid,LCB,Spain,2,1,75,49,72,71,83,80,42,79,66
L. Bailey,82,23,178,77,Aston Villa,SUB,Jamaica,4,3,93,78,74,84,33,64,79,57,86
B. Chilwell,82,24,178,77,Chelsea,SUB,England,3,2,76,53,77,78,78,75,49,68,78
